ville1,pays1,latitude1,longitude1,ville2,pays2,latitude2,longitude2,distance
Johannesburg, Afrique du Sud,-26.205,28.049722,Mexico, Mexique,19.4326296,-99.1331785,14585.218361630143
Montréal, Canada,45.5031824,-73.5698065,Singapour, Singapour,1.357107,103.8194992,14798.113703650866
Melbourne, Australie,-37.8142454,144.9631732,Lagos, Nigéria,6.4550575,3.3941795,14805.147305126231
Mumbai, Inde,18.9733536,72.8281049,Buenos Aires, Argentine,-34.6037181,-58.38153,14924.882117316414
Melbourne, Australie,-37.8142454,144.9631732,Athènes, Grèce,37.9755648,23.7348324,14948.64132552214
Mexico, Mexique,19.4326296,-99.1331785,Mumbai, Inde,18.9733536,72.8281049,15655.45051625391
Singapour, Singapour,1.357107,103.8194992,Rio de Janeiro, Brésil,-22.9110137,-43.2093727,15725.45417594101
Singapour, Singapour,1.357107,103.8194992,Buenos Aires, Argentine,-34.6037181,-58.38153,15882.873096644902
Berlin, Allemagne,52.5170365,13.3888599,Melbourne, Australie,-37.8142454,144.9631732,15974.439421782388
Melbourne, Australie,-37.8142454,144.9631732,Oslo, Norvège,59.9133301,10.7389701,15987.250750232663
